%CSV delimiter: comma,,,,,,,,,
%LiBCMrevB P&P,,,,,,,,,
%2021OCT29,,,,,,,,,
%R223 is bottom right corner,,,,,,,,,
%unit mm,,,,,,,,,
,,,,,,,,,
%tip size XS: 0402/0603,,,,,,,,,
%tip size S: 0805/1206/1210/1812/2010/2512/SOT-23/SMA/SMB,,,,,,,,,
%tip size M: SOT-23/SOT223/SOT-89/TO-252,,,,,,,,,
%tip size ML: TSSOP-16+,,,,,,,,,
%nozzle 1 tip: S,,,,,,,,,
%nozzle 2 tip: ML,,,,,,,,,
,,,,,,,,,
%Configure board offset,OriginOffsetCommand,X,Y,,,,,,
65535,0,0,0,,,,,,
,,,,,,,,,
%Configure part offset on reel,1=StackOffset Command,Stack (reel number),X,Y,Comment,,,,
%Tray (front),,,,,,,,,
132,1,8,90,135.75,0,0.65,0,R023,R_0805/100R
133,1,8,91,120.75,90,0.65,0,R016,R_0805/100R
134,1,8,110.75,138.25,0,0.65,0,R017,R_0805/100R
135,1,8,111.5,97.1,0,0.65,0,R321,R_0805/100R
136,1,8,113.9,96.1,0,0.65,0,R322,R_0805/100R
137,1,8,119.75,115.75,0,0.65,0,R050,R_0805/100R
138,1,8,120.5,112.25,90,0.65,0,R054,R_0805/100R
139,1,8,121.75,17,0,0.65,0,R217,R_0805/100R
140,1,8,125.5,53.9,90,0.65,0,R325,R_0805/100R
141,1,8,130,98,0,0.65,0,R334,R_0805/100R
142,1,8,143.75,16,0,0.65,0,R216,R_0805/100R
143,1,8,145.75,117.25,0,0.65,0,R311,R_0805/100R
144,1,8,155.14,55.25,90,0.65,0,R199,R_0805/100R
145,1,8,155.14,59.45,90,0.65,0,R200,R_0805/100R
146,1,8,155.15,14.15,90,0.65,0,R189,R_0805/100R
147,1,8,155.15,18.35,90,0.65,0,R190,R_0805/100R
148,1,8,155.15,22.55,90,0.65,0,R191,R_0805/100R
149,1,8,155.15,26.55,90,0.65,0,R192,R_0805/100R
150,1,8,155.15,30.75,90,0.65,0,R193,R_0805/100R
151,1,8,155.15,34.85,90,0.65,0,R194,R_0805/100R
152,1,8,155.15,38.95,90,0.65,0,R195,R_0805/100R
153,1,8,155.15,42.95,90,0.65,0,R196,R_0805/100R
154,1,8,155.15,47.05,90,0.65,0,R197,R_0805/100R
155,1,8,155.15,51.25,90,0.65,0,R198,R_0805/100R
156,1,8,157.5,65,0,0.65,0,R201,R_0805/100R
157,1,8,180.8,32.4,0,0.65,0,R290,R_0805/100R
158,1,8,184.8,32.4,0,0.65,0,R289,R_0805/100R
159,1,8,188.9,32.4,0,0.65,0,R288,R_0805/100R
160,1,8,193,32.4,0,0.65,0,R287,R_0805/100R
161,1,8,197.1,32.4,0,0.65,0,R286,R_0805/100R
162,1,8,201.2,32.4,0,0.65,0,R285,R_0805/100R
163,1,8,205.3,32.4,0,0.65,0,R284,R_0805/100R
164,1,8,209.4,32.4,0,0.65,0,R283,R_0805/100R
165,1,8,213.4,32.4,0,0.65,0,R282,R_0805/100R
166,1,8,217.6,32.4,0,0.65,0,R281,R_0805/100R
167,1,8,221.7,32.4,0,0.65,0,R280,R_0805/100R
168,1,8,225.8,32.4,0,0.65,0,R279,R_0805/100R
169,1,8,229.5,152,90,0.65,0,R331,R_0805/100R
170,1,8,229.5,149.5,90,0.65,0,R059,R_0805/100R
171,1,8,229.8,31.9,0,0.65,0,R278,R_0805/100R
172,1,8,239.75,43.5,0,0.65,0,R303,R_0805/100R
173,1,8,242.67,59.5,0,0.65,0,R249,R_0805/100R
174,1,8,246.16,154.75,90,0.65,0,R068,R_0805/100R
175,1,8,246.25,152.25,90,0.65,0,R337,R_0805/100R
176,1,8,246.25,149.75,90,0.65,0,R078,R_0805/100R
177,1,8,246.67,59.5,0,0.65,0,R248,R_0805/100R
178,1,8,250.77,59.5,0,0.65,0,R247,R_0805/100R
179,1,8,254.92,59.5,0,0.65,0,R246,R_0805/100R
180,1,8,258.92,59.5,0,0.65,0,R245,R_0805/100R
181,1,8,262,42.5,0,0.65,0,R304,R_0805/100R
182,1,8,262.92,59.41,0,0.65,0,R244,R_0805/100R
183,1,8,267.17,59.5,0,0.65,0,R243,R_0805/100R
184,1,8,291.71,37.92,90,0.65,0,R239,R_0805/100R
185,1,8,291.71,29.72,90,0.65,0,R241,R_0805/100R
186,1,8,291.71,25.52,90,0.65,0,R242,R_0805/100R
187,1,8,291.8,46.02,90,0.65,0,R237,R_0805/100R
188,1,8,291.8,42.02,90,0.65,0,R238,R_0805/100R
189,1,8,291.8,33.77,90,0.65,0,R240,R_0805/100R
190,1,8,295.5,142,0,0.65,0,R332,R_0805/100R
191,1,8,295.5,138,0,0.65,0,R063,R_0805/100R
192,1,8,299.5,42.5,90,0.65,0,R262,R_0805/100R
193,1,8,299.5,45,90,0.65,0,R263,R_0805/100R
194,1,8,311.5,126,90,0.65,0,R330,R_0805/100R
195,1,8,311.5,121.5,90,0.65,0,R333,R_0805/100R
196,1,8,311.5,123.75,90,0.65,0,R065,R_0805/100R
197,1,11,13.5,128.35,90,0.65,0,R128,R_0805/1k24
198,1,11,31.15,53.55,90,0.65,0,R163,R_0805/1k24
199,1,11,31.15,49.45,90,0.65,0,R164,R_0805/1k24
200,1,11,31.15,45.35,90,0.65,0,R165,R_0805/1k24
201,1,11,31.15,41.25,90,0.65,0,R166,R_0805/1k24
202,1,11,31.15,37.15,90,0.65,0,R167,R_0805/1k24
203,1,11,31.15,33.05,90,0.65,0,R168,R_0805/1k24
204,1,11,47.75,151.75,90,0.65,0,R117,R_0805/1k24
205,1,11,47.84,131.75,90,0.65,0,R109,R_0805/1k24
206,1,11,47.84,136.75,90,0.65,0,R111,R_0805/1k24
207,1,11,47.84,141.75,90,0.65,0,R113,R_0805/1k24
208,1,11,47.84,146.75,90,0.65,0,R115,R_0805/1k24
209,1,11,57.5,27,0,0.65,0,R174,R_0805/1k24
210,1,11,63.75,129.5,90,0.65,0,R108,R_0805/1k24
211,1,11,63.75,133.75,90,0.65,0,R110,R_0805/1k24
212,1,11,63.75,138,90,0.65,0,R112,R_0805/1k24
213,1,11,63.75,142.25,90,0.65,0,R114,R_0805/1k24
214,1,11,63.75,146.5,90,0.65,0,R116,R_0805/1k24
215,1,11,63.75,151.25,90,0.65,0,R118,R_0805/1k24
216,1,11,63.75,154.5,90,0.65,0,R119,R_0805/1k24
217,1,11,78.75,56.5,0,0.65,0,R121,R_0805/1k24
218,1,11,78.75,12.85,90,0.65,0,R157,R_0805/1k24
219,1,11,78.75,16.85,90,0.65,0,R158,R_0805/1k24
220,1,11,78.75,21.05,90,0.65,0,R159,R_0805/1k24
221,1,11,78.75,25.05,90,0.65,0,R160,R_0805/1k24
222,1,11,78.75,29.25,90,0.65,0,R161,R_0805/1k24
223,1,11,78.75,33.35,90,0.65,0,R162,R_0805/1k24
224,1,11,84.5,49.75,0,0.65,0,R081,R_0805/1k24
225,1,11,85,149.75,0,0.65,0,R001,R_0805/1k24
226,1,11,87.5,149.75,0,0.65,0,R002,R_0805/1k24
227,1,11,90,149.75,0,0.65,0,R003,R_0805/1k24
228,1,11,92.5,149.75,0,0.65,0,R005,R_0805/1k24
229,1,11,103.95,66.2,0,0.65,0,R043,R_0805/1k24
230,1,11,103.95,62.35,0,0.65,0,R044,R_0805/1k24
231,1,11,103.95,58.45,0,0.65,0,R045,R_0805/1k24
232,1,11,103.95,54.6,0,0.65,0,R046,R_0805/1k24
233,1,11,118.25,100.75,90,0.65,0,R122,R_0805/1k24
234,1,11,120.5,92.9,90,0.65,0,R326,R_0805/1k24
235,1,11,126.75,83.25,0,0.65,0,R025,R_0805/1k24
236,1,11,128.25,86.5,90,0.65,0,R024,R_0805/1k24
237,1,11,128.5,63.75,0,0.65,0,R012,R_0805/1k24
238,1,11,128.5,67.75,0,0.65,0,R014,R_0805/1k24
239,1,11,128.5,59.75,0,0.65,0,R004,R_0805/1k24
240,1,11,128.75,80,90,0.65,0,R028,R_0805/1k24
241,1,11,128.75,75,90,0.65,0,R031,R_0805/1k24
242,1,11,137.25,16,0,0.65,0,R221,R_0805/1k24
243,1,11,159.15,16.25,90,0.65,0,R202,R_0805/1k24
244,1,11,159.15,20.45,90,0.65,0,R203,R_0805/1k24
245,1,11,159.15,24.55,90,0.65,0,R204,R_0805/1k24
246,1,11,159.15,28.65,90,0.65,0,R205,R_0805/1k24
247,1,11,159.15,32.75,90,0.65,0,R206,R_0805/1k24
248,1,11,159.15,36.85,90,0.65,0,R207,R_0805/1k24
249,1,11,159.15,40.95,90,0.65,0,R208,R_0805/1k24
250,1,11,159.15,45.05,90,0.65,0,R209,R_0805/1k24
251,1,11,159.15,49.15,90,0.65,0,R210,R_0805/1k24
252,1,11,159.15,53.25,90,0.65,0,R211,R_0805/1k24
253,1,11,159.15,57.35,90,0.65,0,R212,R_0805/1k24
254,1,11,159.15,61.55,90,0.65,0,R213,R_0805/1k24
255,1,11,182.7,36.4,0,0.65,0,R302,R_0805/1k24
256,1,11,186.8,36.4,0,0.65,0,R301,R_0805/1k24
257,1,11,190.9,36.4,0,0.65,0,R300,R_0805/1k24
258,1,11,195,36.4,0,0.65,0,R299,R_0805/1k24
259,1,11,199.1,36.4,0,0.65,0,R298,R_0805/1k24
260,1,11,203.2,36.4,0,0.65,0,R297,R_0805/1k24
261,1,11,207.3,36.4,0,0.65,0,R296,R_0805/1k24
262,1,11,211.4,36.4,0,0.65,0,R295,R_0805/1k24
263,1,11,215.5,36.4,0,0.65,0,R294,R_0805/1k24
264,1,11,219.6,36.4,0,0.65,0,R293,R_0805/1k24
265,1,11,223.7,36.4,0,0.65,0,R292,R_0805/1k24
266,1,11,227.8,36.4,0,0.65,0,R291,R_0805/1k24
267,1,11,239.75,123.25,90,0.65,0,R320,R_0805/1k24
268,1,11,244.67,63.41,0,0.65,0,R261,R_0805/1k24
269,1,11,247.5,43.25,0,0.65,0,R308,R_0805/1k24
270,1,11,248.77,63.41,0,0.65,0,R260,R_0805/1k24
271,1,11,252.92,63.41,0,0.65,0,R259,R_0805/1k24
272,1,11,256.92,63.41,0,0.65,0,R258,R_0805/1k24
273,1,11,260.92,63.41,0,0.65,0,R257,R_0805/1k24
274,1,11,265.17,63.41,0,0.65,0,R256,R_0805/1k24
275,1,11,284.09,154.65,90,0.65,0,R060,R_0805/1k24
276,1,11,287.8,44.02,90,0.65,0,R250,R_0805/1k24
277,1,11,287.8,40.02,90,0.65,0,R251,R_0805/1k24
278,1,11,287.8,35.77,90,0.65,0,R252,R_0805/1k24
279,1,11,287.8,31.77,90,0.65,0,R253,R_0805/1k24
280,1,11,287.8,27.77,90,0.65,0,R254,R_0805/1k24
281,1,11,287.8,23.52,90,0.65,0,R255,R_0805/1k24
282,1,11,307,25.5,90,0.65,0,R267,R_0805/1k24
283,1,13,25.9,22.25,90,0.7,0,C052,C_0805/100p
284,1,13,43.25,21.75,90,0.7,0,C077,C_0805/100p
285,1,13,73,52.5,0,0.7,0,C160,C_0805/100p
286,1,13,79.5,52.5,0,0.7,0,C159,C_0805/100p
287,1,13,111.5,100.9,0,0.7,0,C162,C_0805/100p
288,1,13,116.3,96.1,0,0.7,0,C161,C_0805/100p
289,1,13,126.25,98.25,90,0.7,0,C172,C_0805/100p
290,1,13,129.3,53.9,90,0.7,0,C163,C_0805/100p
291,1,13,245.75,21.2,90,0.7,0,C093,C_0805/100p
292,1,13,261.5,21.25,90,0.7,0,C142,C_0805/100p
293,1,13,316.55,22.5,90,0.7,0,C103,C_0805/100p
294,1,13,335.25,21,90,0.7,0,C048,C_0805/100p
295,1,4,5.5,124.5,90,0.95,0,C050,C_0805/100n
296,1,4,18.5,128.5,90,0.95,0,C049,C_0805/100n
297,1,4,30.5,127,90,0.95,0,C035,C_0805/100n
298,1,4,34.5,149.5,90,0.95,0,C040,C_0805/100n
299,1,4,34.5,127,90,0.95,0,C042,C_0805/100n
300,1,4,34.5,147,90,0.95,0,C046,C_0805/100n
301,1,4,34.5,152,90,0.95,0,C047,C_0805/100n
