%CSV delimiter: comma,,,,,,,,,
%5AhG3 18S RevB P&P,,,,,,,,,
%2022DEC21,,,,,,,,,
"%R9 is bottom left corner (""Center this hole"" facing left)",,,,,,,,,
%KiCAD(A;B) centroid is P&P(A-74;B+198),,,,,,,,,
%XY centroids unmodified,,,,,,,,,
%unit mm,,,,,,,,,
,,,,,,,,,
%tip size XS: 0402/0603,,,,,,,,,
%tip size S: 0805/1206/1210/1812/2010/2512/SOT-23/SMA/SMB,,,,,,,,,
%tip size M: SOT-23/SOT223/SOT-89/TO-252,,,,,,,,,
%tip size ML: TSSOP-16+,,,,,,,,,
%nozzle 1 tip: S,,,,,,,,,
%nozzle 2 tip: ML,,,,,,,,,
,,,,,,,,,
%Configure board offset,OriginOffsetCommand,X,Y,,,,,,
65535,0,0,0,,,,,,
,,,,,,,,,
%Configure part offset on reel,1=StackOffset Command,Stack (reel number),X,Y,Comment,,,,
%Tray (front),,,,,,,,,
71,2,24,123,38,90,0.7,0,R72,R_2010/6k2R
72,2,24,138,86,90,0.7,0,R73,R_2010/6k2R
73,2,24,138,80,90,0.7,0,R74,R_2010/6k2R
74,2,24,138,74,90,0.7,0,R75,R_2010/6k2R
75,2,24,138,68,90,0.7,0,R76,R_2010/6k2R
76,2,24,138,62,90,0.7,0,R77,R_2010/6k2R
77,2,24,138,56,90,0.7,0,R78,R_2010/6k2R
78,2,24,138,50,90,0.7,0,R79,R_2010/6k2R
79,2,24,138,44,90,0.7,0,R80,R_2010/6k2R
80,2,24,138,38,90,0.7,0,R81,R_2010/6k2R
81,2,24,153,86,90,0.7,0,R82,R_2010/6k2R
82,2,24,153,80,90,0.7,0,R83,R_2010/6k2R
83,2,24,153,74,90,0.7,0,R84,R_2010/6k2R
84,2,24,153,68,90,0.7,0,R85,R_2010/6k2R
85,2,24,153,62,90,0.7,0,R86,R_2010/6k2R
86,2,24,153,56,90,0.7,0,R87,R_2010/6k2R
87,2,24,153,50,90,0.7,0,R88,R_2010/6k2R
88,2,24,153,44,90,0.7,0,R89,R_2010/6k2R
89,2,24,153,38,90,0.7,0,R90,R_2010/6k2R
90,2,24,168,86,90,0.7,0,R91,R_2010/6k2R
91,2,24,168,80,90,0.7,0,R92,R_2010/6k2R
92,2,24,168,74,90,0.7,0,R93,R_2010/6k2R
93,2,24,168,68,90,0.7,0,R94,R_2010/6k2R
94,2,24,168,62,90,0.7,0,R95,R_2010/6k2R
95,2,24,168,56,90,0.7,0,R96,R_2010/6k2R
96,2,24,168,50,90,0.7,0,R97,R_2010/6k2R
97,2,24,168,44,90,0.7,0,R98,R_2010/6k2R
98,2,24,168,38,90,0.7,0,R99,R_2010/6k2R
99,2,24,183,86,90,0.7,0,R100,R_2010/6k2R
100,2,24,183,80,90,0.7,0,R101,R_2010/6k2R
101,2,24,183,74,90,0.7,0,R102,R_2010/6k2R
102,2,24,183,68,90,0.7,0,R103,R_2010/6k2R
103,2,24,183,62,90,0.7,0,R104,R_2010/6k2R
104,2,24,183,56,90,0.7,0,R105,R_2010/6k2R
105,2,24,183,50,90,0.7,0,R106,R_2010/6k2R
106,2,24,183,44,90,0.7,0,R107,R_2010/6k2R
107,2,24,183,38,90,0.7,0,R108,R_2010/6k2R
108,2,24,198,86,90,0.7,0,R109,R_2010/6k2R
109,2,24,198,80,90,0.7,0,R110,R_2010/6k2R
110,2,24,198,74,90,0.7,0,R111,R_2010/6k2R
111,2,24,198,68,90,0.7,0,R112,R_2010/6k2R
112,2,24,198,62,90,0.7,0,R113,R_2010/6k2R
113,2,24,198,56,90,0.7,0,R114,R_2010/6k2R
114,2,24,198,50,90,0.7,0,R115,R_2010/6k2R
115,2,24,198,44,90,0.7,0,R116,R_2010/6k2R
116,2,24,198,38,90,0.7,0,R117,R_2010/6k2R
117,2,24,213,86,90,0.7,0,R118,R_2010/6k2R
118,2,24,213,80,90,0.7,0,R119,R_2010/6k2R
119,2,24,213,74,90,0.7,0,R120,R_2010/6k2R
120,2,24,213,68,90,0.7,0,R121,R_2010/6k2R
121,2,24,213,62,90,0.7,0,R122,R_2010/6k2R
122,2,24,213,56,90,0.7,0,R123,R_2010/6k2R
123,2,24,213,50,90,0.7,0,R124,R_2010/6k2R
124,2,24,213,44,90,0.7,0,R125,R_2010/6k2R
125,2,24,213,38,90,0.7,0,R126,R_2010/6k2R
126,2,24,228,86,90,0.7,0,R127,R_2010/6k2R
127,2,24,228,80,90,0.7,0,R128,R_2010/6k2R
128,2,24,228,74,90,0.7,0,R129,R_2010/6k2R
129,2,24,228,68,90,0.7,0,R130,R_2010/6k2R
130,2,24,228,62,90,0.7,0,R131,R_2010/6k2R
131,2,24,228,56,90,0.7,0,R132,R_2010/6k2R
132,2,24,228,50,90,0.7,0,R133,R_2010/6k2R
133,2,24,228,44,90,0.7,0,R134,R_2010/6k2R
134,2,24,228,38,90,0.7,0,R135,R_2010/6k2R
135,2,24,243,86,90,0.7,0,R136,R_2010/6k2R
136,2,24,243,80,90,0.7,0,R137,R_2010/6k2R
137,2,24,243,74,90,0.7,0,R138,R_2010/6k2R
138,2,24,243,68,90,0.7,0,R139,R_2010/6k2R
139,2,22,243,62,90,0.7,0,R140,R_2010/6k2R
140,2,24,243,56,90,0.7,0,R141,R_2010/6k2R
141,2,24,243,50,90,0.7,0,R142,R_2010/6k2R
142,2,24,243,44,90,0.7,0,R143,R_2010/6k2R
143,2,24,243,38,90,0.7,0,R144,R_2010/6k2R
144,2,24,258,86,90,0.7,0,R145,R_2010/6k2R
145,2,24,258,80,90,0.7,0,R146,R_2010/6k2R
146,2,22,258,74,90,0.7,0,R147,R_2010/6k2R
147,2,24,258,68,90,0.7,0,R148,R_2010/6k2R
148,2,24,258,62,90,0.7,0,R149,R_2010/6k2R
149,2,24,258,56,90,0.7,0,R150,R_2010/6k2R
150,2,22,258,50,90,0.7,0,R151,R_2010/6k2R
151,2,24,258,44,90,0.7,0,R152,R_2010/6k2R
152,2,24,258,38,90,0.7,0,R153,R_2010/6k2R
153,2,24,273,86,90,0.7,0,R154,R_2010/6k2R
154,2,22,273,79.75,90,0.7,0,R155,R_2010/6k2R
155,2,24,273,74,90,0.7,0,R156,R_2010/6k2R
156,2,24,271.5,66.5,0,0.7,0,R157,R_2010/6k2R
157,2,24,271.5,57.5,0,0.7,0,R159,R_2010/6k2R
158,2,24,273,50,90,0.7,0,R160,R_2010/6k2R
159,2,22,273,44,90,0.7,0,R161,R_2010/6k2R
160,2,24,273,38,90,0.7,0,R162,R_2010/6k2R
161,2,24,10,91,0,0.7,0,R171,R_2010/6k2R
162,2,24,10,98.5,0,0.7,0,R172,R_2010/6k2R
163,2,24,4,98.5,0,0.7,0,R173,R_2010/6k2R
164,2,24,10.5,78.5,0,0.7,0,R174,R_2010/6k2R
165,2,24,10.5,45.5,0,0.7,0,R175,R_2010/6k2R
166,2,24,4,25.5,0,0.7,0,R176,R_2010/6k2R
167,2,24,10,25.5,0,0.7,0,R177,R_2010/6k2R
168,2,24,10,33,0,0.7,0,R178,R_2010/6k2R
169,1,21,149.5,14,0,1.25,0,TH1,R_0805/THERM
