%CSV delimiter: comma,,,,,,,,,
%LiBCMrevB P&P,,,,,,,,,
%2021JUN10,,,,,,,,,
%Orient PCB _TBD___,,,,,,,,,
%unit mm,,,,,,,,,
,,,,,,,,,
%tip size XS: 0402/0603,,,,,,,,,
%tip size S: 0805/1206/1210/1812/2010/2512/SOT-23/SMA/SMB,,,,,,,,,
%tip size M: SOT-23/SOT223/SOT-89/TO-252,,,,,,,,,
%tip size ML: TSSOP-16+,,,,,,,,,
%nozzle 1 tip: M,,,,,,,,,
%nozzle 2 tip: S,,,,,,,,,
,,,,,,,,,
%Configure board offset,OriginOffsetCommand,X,Y,,,,,,
65535,0,0,0,,,,,,
,,,,,,,,,
%Configure part offset on reel,1=StackOffset Command,Stack (reel number),X,Y,Comment,,,,
%Tray (front),,,,,,,,,
45,2,5,15,143.25,0,0.8,0,R127,R_0805/10k
46,2,5,72,44.5,90,0.8,0,R13,R_0805/10k
47,2,5,40.5,25.5,270,0.8,0,R173,R_0805/10k
48,2,5,112,142,0,0.8,0,R18,R_0805/10k
49,2,5,126.5,29,90,0.8,0,R220,R_0805/10k
50,2,5,88.25,133.75,0,0.8,0,R26,R_0805/10k
51,2,5,303.75,26,180,0.8,0,R266,R_0805/10k
52,2,5,259.5,29,0,0.8,0,R307,R_0805/10k
53,2,5,141.25,123.5,90,0.8,0,R312,R_0805/10k
54,2,5,324.5,131.75,180,0.8,0,R315,R_0805/10k
55,2,5,239.5,126.5,0,0.8,0,R319,R_0805/10k
56,2,5,95.7,86.3,180,0.8,0,R34,R_0805/10k
57,2,5,153.4,125.35,270,0.8,0,R35,R_0805/10k
58,2,5,157.15,125.35,270,0.8,0,R36,R_0805/10k
59,2,5,160.75,125.35,270,0.8,0,R37,R_0805/10k
60,2,5,164.8,125.6,270,0.8,0,R38,R_0805/10k
61,2,5,178.2,124.2,0,0.8,0,R39,R_0805/10k
62,2,5,197.1,123.1,270,0.8,0,R42,R_0805/10k
63,2,5,197.1,127.2,270,0.8,0,R47,R_0805/10k
64,2,5,120.5,148,0,0.8,0,R49,R_0805/10k
65,2,5,123.75,108.4125,90,0.8,0,R51,R_0805/10k
66,2,5,126.25,105.25,0,0.8,0,R52,R_0805/10k
