%CSV delimiter: comma,,,,,,,,,
%LiBCMrevB P&P,,,,,,,,,
%2021JUN10,,,,,,,,,
%Orient PCB _TBD___,,,,,,,,,
%unit mm,,,,,,,,,
,,,,,,,,,
%tip size XS: 0402/0603,,,,,,,,,
%tip size S: 0805/1206/1210/1812/2010/2512/SOT-23/SMA/SMB,,,,,,,,,
%tip size M: SOT-23/SOT223/SOT-89/TO-252,,,,,,,,,
%tip size ML: TSSOP-16+,,,,,,,,,
%nozzle 1 tip: S,,,,,,,,,
%nozzle 2 tip: ML,,,,,,,,,
,,,,,,,,,
%Configure board offset,OriginOffsetCommand,X,Y,,,,,,
65535,0,0,0,,,,,,
,,,,,,,,,
%Configure part offset on reel,1=StackOffset Command,Stack (reel number),X,Y,Comment,,,,
%Tray (front),,,,,,,,,
73,1,8,63.65,129.3,90,0.8,0,R108,R_0805/3k3
74,1,8,47.74,131.55,90,0.8,0,R109,R_0805/3k3
75,1,8,63.65,133.55,90,0.8,0,R110,R_0805/3k3
76,1,8,47.74,136.55,90,0.8,0,R111,R_0805/3k3
77,1,8,63.65,137.8,90,0.8,0,R112,R_0805/3k3
78,1,8,47.74,141.55,90,0.8,0,R113,R_0805/3k3
79,1,8,63.65,142.05,90,0.8,0,R114,R_0805/3k3
80,1,8,47.74,146.55,90,0.8,0,R115,R_0805/3k3
81,1,8,63.65,146.3,90,0.8,0,R116,R_0805/3k3
82,1,8,47.65,151.55,90,0.8,0,R117,R_0805/3k3
83,1,8,63.65,151.05,90,0.8,0,R118,R_0805/3k3
84,1,8,63.65,154.3,90,0.8,0,R119,R_0805/3k3
85,1,8,78.65,12.65,90,0.8,0,R157,R_0805/3k3
86,1,8,78.65,16.65,90,0.8,0,R158,R_0805/3k3
87,1,8,78.65,20.85,90,0.8,0,R159,R_0805/3k3
88,1,8,78.65,24.85,90,0.8,0,R160,R_0805/3k3
89,1,8,78.65,29.05,90,0.8,0,R161,R_0805/3k3
90,1,8,78.65,33.15,90,0.8,0,R162,R_0805/3k3
91,1,8,31.05,53.35,90,0.8,0,R163,R_0805/3k3
92,1,8,31.05,49.25,90,0.8,0,R164,R_0805/3k3
93,1,8,31.05,45.15,90,0.8,0,R165,R_0805/3k3
94,1,8,31.05,41.05,90,0.8,0,R166,R_0805/3k3
95,1,8,31.05,36.95,90,0.8,0,R167,R_0805/3k3
